BMI组,阈值,late达标率,early达标率,差值,CI_low,CI_high,Z值,P值,负logP
Q1,11.5,1.0,1.0,0.0,0.2370271926323414,0.29914504841954426,,,
Q1,12.0,1.0,1.0,0.0,0.1350910649119863,0.20388330103584873,,,
Q1,12.5,1.0,1.0,0.0,0.025159930274156972,0.11696979849974098,,,
Q1,13.0,1.0,1.0,0.0,-0.025159930274156972,0.09180986822558379,,,
Q1,13.5,1.0,1.0,0.0,-0.1129705358754931,0.07134759913335875,,,
Q1,14.0,1.0,1.0,0.0,-0.21439396500991026,0.06313883485297911,,,
Q1,14.5,1.0,1.0,0.0,-0.21439396500991026,0.06313883485297911,,,
Q1,15.0,1.0,1.0,0.0,-0.21439396500991026,0.06313883485297911,,,
Q1,15.5,1.0,1.0,0.0,-0.21439396500991026,0.06313883485297911,,,
Q1,16.0,1.0,1.0,0.0,-0.2632781943570919,0.06112937052678835,,,
Q1,16.5,1.0,1.0,0.0,-0.4324196368657459,0.05747119958885161,,,
Q1,17.0,1.0,1.0,0.0,-0.5048729719622402,0.05662405979280538,,,
Q1,17.5,1.0,1.0,0.0,-0.5048729719622402,0.05662405979280538,,,
Q1,18.0,1.0,1.0,0.0,-0.5048729719622402,0.05662405979280538,,,
Q1,18.5,1.0,1.0,0.0,-0.5048729719622402,0.05662405979280538,,,
Q1,19.0,1.0,1.0,0.0,-0.5048729719622402,0.05662405979280538,,,
Q1,19.5,1.0,1.0,0.0,-0.5048729719622402,0.05662405979280538,,,
Q1,20.0,1.0,1.0,0.0,-0.5048729719622402,0.05662405979280538,,,
Q1,20.5,1.0,1.0,0.0,-0.7384481286092213,0.0550025570135414,,,
Q1,21.0,1.0,1.0,0.0,-0.7384481286092213,0.0550025570135414,,,
Q2,11.5,0.9838709677419355,1.0,-0.016129032258064502,0.3324862299182103,0.4155005653564885,-0.286124199734152,0.7747829973060035,0.11081991848622937
Q2,12.0,1.0,0.9166666666666666,0.08333333333333337,0.37192834335736413,0.4372132444744504,2.1570298509241286,0.031003338635341007,1.5085915360743418
Q2,12.5,1.0,0.9615384615384616,0.038461538461538436,0.14172175730745395,0.22738932749188578,1.2652335163185664,0.20578763109771836,0.6865807321364613
Q2,13.0,1.0,0.9743589743589743,0.02564102564102566,0.03680762257368064,0.15745092733952637,0.8537134934079044,0.3932637558770523,0.4053160773581707
Q2,13.5,1.0,0.9803921568627451,0.019607843137254943,-0.07095415013573192,0.12265353039870475,0.5643393542135806,0.5725232033576619,0.24220690744049694
Q2,14.0,1.0,0.9827586206896551,0.017241379310344862,-0.19049508817451932,0.10864996024502482,0.39689231659454816,0.6914468703452219,0.16024118475547172
Q2,14.5,1.0,0.9827586206896551,0.017241379310344862,-0.19049508817451932,0.10864996024502482,0.39689231659454816,0.6914468703452219,0.16024118475547172
Q2,15.0,1.0,0.9827586206896551,0.017241379310344862,-0.19049508817451932,0.10864996024502482,0.39689231659454816,0.6914468703452219,0.16024118475547172
Q2,15.5,1.0,0.9827586206896551,0.017241379310344862,-0.19049508817451932,0.10864996024502482,0.39689231659454816,0.6914468703452219,0.16024118475547172
Q2,16.0,1.0,0.9830508474576272,0.016949152542372836,-0.21750115270008452,0.10690641218379571,0.3710089797719062,0.710630843401997,0.14835594682052558
Q2,16.5,1.0,0.9838709677419355,0.016129032258064502,-0.3324862299182103,0.10199623486496445,0.286124199734152,0.7747829973060035,0.11081991848622937
Q2,17.0,1.0,0.9838709677419355,0.016129032258064502,-0.3324862299182103,0.10199623486496445,0.286124199734152,0.7747829973060035,0.11081991848622937
Q2,17.5,1.0,0.9838709677419355,0.016129032258064502,-0.3324862299182103,0.10199623486496445,0.286124199734152,0.7747829973060035,0.11081991848622937
Q2,18.0,1.0,0.9841269841269841,0.015873015873015928,-0.38943256598719755,0.10045827046739997,0.2538780503589562,0.7995897726198494,0.09713276948534885
Q2,18.5,1.0,0.9841269841269841,0.015873015873015928,-0.38943256598719755,0.10045827046739997,0.2538780503589562,0.7995897726198494,0.09713276948534885
Q2,19.0,1.0,0.9841269841269841,0.015873015873015928,-0.38943256598719755,0.10045827046739997,0.2538780503589562,0.7995897726198494,0.09713276948534885
Q2,19.5,1.0,0.9841269841269841,0.015873015873015928,-0.38943256598719755,0.10045827046739997,0.2538780503589562,0.7995897726198494,0.09713276948534885
Q2,20.0,1.0,0.9841269841269841,0.015873015873015928,-0.38943256598719755,0.10045827046739997,0.2538780503589562,0.7995897726198494,0.09713276948534885
Q2,20.5,1.0,0.9841269841269841,0.015873015873015928,-0.38943256598719755,0.10045827046739997,0.2538780503589562,0.7995897726198494,0.09713276948534885
Q2,21.0,1.0,0.9846153846153847,0.01538461538461533,-0.5601023098132171,0.09751746268012995,0.17673548380399146,0.8597161675419154,0.06564490598453424
Q2,21.5,1.0,0.9848484848484849,0.015151515151515138,-0.6973399678505834,0.09611071777217928,0.1240204965435217,0.9012990464550077,0.04513108840267461
Q2,22.0,1.0,0.9848484848484849,0.015151515151515138,-0.6973399678505834,0.09611071777217928,0.1240204965435217,0.9012990464550077,0.04513108840267461
Q2,22.5,1.0,0.9848484848484849,0.015151515151515138,-0.6973399678505834,0.09611071777217928,0.1240204965435217,0.9012990464550077,0.04513108840267461
Q2,23.0,1.0,0.9848484848484849,0.015151515151515138,-0.6973399678505834,0.09611071777217928,0.1240204965435217,0.9012990464550077,0.04513108840267461
Q2,23.5,1.0,0.9848484848484849,0.015151515151515138,-0.6973399678505834,0.09611071777217928,0.1240204965435217,0.9012990464550077,0.04513108840267461
