地    区,总合计,合计男,合计女,0岁小计,0岁男,0岁女,1-4岁小计,1-4岁男,1-4岁女,5-9岁小计,5-9岁男,5-9岁女,10-14岁小计,10-14岁男,10-14岁女,15-19岁小计,15-19岁男,15-19岁女,20-24岁小计,20-24岁男,20-24岁女,25-29岁小计,25-29岁男,25-29岁女,30-34岁小计,30-34岁男,30-34岁女,35-39岁小计,35-39岁男,35-39岁女,40-44岁小计,40-44岁男,40-44岁女,45-49岁小计,45-49岁男,45-49岁女,50-54岁小计,50-54岁男,50-54岁女,55-59岁小计,55-59岁男,55-59岁女,60-64岁小计,60-64岁男,60-64岁女,65-69岁小计,65-69岁男,65-69岁女,70-74岁小计,70-74岁男,70-74岁女,75-79岁小计,75-79岁男,75-79岁女,80-84岁小计,80-84岁男,80-84岁女,85-89岁小计,85-89岁男,85-89岁女,90-94岁小计,90-94岁男,90-94岁女,95-99岁小计,95-99岁男,95-99岁女,100岁及以上小计,100岁及以上男,100岁及以上女
广    东,7438590,3984956,3453634,51065,27218,23847,330997,177581,153416,408245,220475,187770,323545,176575,146970,395978,222284,173694,631869,349312,282557,809675,444537,365138,938313,513195,425118,765171,415595,349576,606015,327208,278807,620246,330677,289569,507520,269339,238181,364908,188185,176723,230219,112412,117807,192395,91093,101302,116672,55880,60792,64478,29705,34773,46120,20368,25752,24944,9844,15100,8201,2922,5279,1826,507,1319,188,44,144
广    西,1377109,692140,684969,11745,6309,5436,76738,41003,35735,101357,54677,46680,80423,43475,36948,108796,55894,52902,90234,43676,46558,89231,44939,44292,134958,66054,68904,125750,62543,63207,110103,55379,54724,105234,53922,51312,92922,46905,46017,77832,37532,40300,53436,25590,27846,48789,23095,25694,30204,14441,15763,17995,8010,9985,12616,5404,7212,6326,2437,3889,1934,700,1234,413,140,273,73,15,58
海    南,336134,174185,161949,2664,1449,1215,17901,9823,8078,23364,13096,10268,19339,10848,8491,20649,11120,9529,22274,11621,10653,31062,15764,15298,35937,18112,17825,31571,15917,15654,24666,12547,12119,25490,13313,12177,23253,12222,11031,19266,9788,9478,12638,6289,6349,10534,5137,5397,6464,3170,3294,3761,1717,2044,3215,1439,1776,1469,610,859,484,170,314,119,33,86,14,,14
重    庆,1647333,814150,833183,9849,5137,4712,68502,35520,32982,85360,44368,40992,75095,39172,35923,103258,54346,48912,120661,59033,61628,129836,62876,66960,159524,78610,80914,116917,58199,58718,92364,45356,47008,159064,78504,80560,145095,70835,74260,113652,54847,58805,73054,36022,37032,82088,39215,42873,48120,22916,25204,30885,14843,16042,19147,8453,10694,10220,4051,6169,3836,1537,2299,718,276,442,88,34,54
四    川,3023299,1489653,1533646,17665,9341,8324,122573,63189,59384,147564,76573,70991,125569,65181,60388,176553,89200,87353,218161,105145,113016,242007,117494,124513,303308,149286,154022,213464,105628,107836,195867,96708,99159,292671,145769,146902,267792,131508,136284,206638,100017,106621,131063,64113,66950,143748,67457,76291,92398,44006,48392,60849,28989,31860,38842,18186,20656,18611,8307,10304,6534,3016,3518,1252,489,763,170,51,119
贵    州,953728,477931,475797,9794,5164,4630,58287,31054,27233,66668,35851,30817,55596,29732,25864,66011,34247,31764,76440,35706,40734,76279,36782,39497,91955,45286,46669,70962,35875,35087,67434,34470,32964,78107,40149,37958,67850,34002,33848,53532,26239,27293,34094,16519,17575,29870,13594,16276,21681,10195,11486,14104,6480,7624,9550,4170,5380,4136,1802,2334,1181,537,644,173,65,108,24,12,12
云    南,1179069,590434,588635,9552,4935,4617,58069,30189,27880,62458,32436,30022,51583,26867,24716,88353,44262,44091,100161,47454,52707,96215,47558,48657,117475,59135,58340,93544,47596,45948,93392,47677,45715,99460,51726,47734,85331,43155,42176,71483,35017,36466,44838,21888,22950,42576,20334,22242,27293,13042,14251,17547,7979,9568,12013,5638,6375,5667,2641,3026,1739,761,978,294,129,165,26,15,11
西    藏,63892,33482,30410,233,119,114,2020,1059,961,2979,1565,1414,2573,1330,1243,6292,3142,3150,5067,2610,2457,6275,3295,2980,7517,3986,3531,6211,3234,2977,5515,2944,2571,5983,3306,2677,4833,2641,2192,3295,1776,1519,1900,984,916,1386,686,700,867,424,443,528,208,320,271,126,145,108,36,72,30,6,24,7,4,3,2,1,1
陕    西,1402903,703473,699430,9449,4879,4570,64740,33695,31045,82324,43143,39181,64935,34502,30433,78921,41395,37526,95753,48206,47547,114626,56508,58118,161104,79397,81707,126730,63622,63108,99192,49829,49363,107795,54592,53203,99159,49547,49612,86612,43218,43394,69171,34059,35112,56201,26852,29349,35428,16940,18488,23407,10705,12702,17007,7528,9479,7998,3713,4285,1991,985,1006,339,152,187,21,6,15
甘    肃,652969,325010,327959,5237,2709,2528,33119,17244,15875,36818,19432,17386,33117,17395,15722,35052,18344,16708,38888,18801,20087,49118,23580,25538,65196,31786,33410,50998,25125,25873,44999,22438,22561,57653,29180,28473,57548,28889,28659,46007,22778,23229,28884,14260,14624,27044,13256,13788,17372,8169,9203,12687,5410,7277,8824,4087,4737,3515,1666,1849,763,399,364,121,60,61,9,2,7
青    海,198574,100427,98147,1445,766,679,8458,4420,4038,10684,5494,5190,9867,5114,4753,10268,5310,4958,12558,6275,6283,16509,8241,8268,19258,9824,9434,14273,7260,7013,15456,7850,7606,18867,9822,9045,19463,9862,9601,14745,7501,7244,8189,4149,4040,6749,3291,3458,4447,2014,2433,3684,1475,2209,2486,1158,1328,909,464,445,228,125,103,26,10,16,5,2,3
宁    夏,286187,141726,144461,2516,1289,1227,15381,7914,7467,17842,9380,8462,16683,8712,7971,17319,8697,8622,18712,8728,9984,22829,10977,11852,28518,13946,14572,23801,11936,11865,22895,11360,11535,24209,12266,11943,22254,11048,11206,16648,8204,8444,10933,5415,5518,10138,4808,5330,6290,2895,3395,4544,1975,2569,3085,1383,1702,1245,617,628,295,150,145,44,25,19,6,1,5
新    疆,870130,437203,432927,5619,2876,2743,37544,19420,18124,56156,29161,26995,46647,24077,22570,48847,25039,23808,52244,26467,25777,66948,33506,33442,85419,43184,42235,65445,32856,32589,64294,32084,32210,87490,44430,43060,82283,41760,40523,58221,29422,28799,34999,17606,17393,26404,12646,13758,18422,7788,10634,16089,6451,9638,11602,5792,5810,4200,2008,2192,1047,528,519,192,92,100,18,10,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
