group,最佳孕周均值,最佳孕周标准差,95%CI下限,95%CI上限
Q1,18.531,2.875158952127691,10.0,19.5
Q2,10.039,0.5019750989840034,10.0,10.0
Q3,10.0,0.0,10.0,10.0
Q4,10.0095,0.30026613195630303,10.0,10.0
