指标类型,指标名称,数值,单位
资源密度,医疗机构密度(个/万人),2.618746105449356,个/万人
资源密度,养老机构密度(个/万人),0.28141269171239625,个/万人
资源密度,公园密度(个/万人),0.22191400832177532,个/万人
资源密度,文化机构密度(个/万人),0.03417154113650526,个/万人
资源密度,医疗床位密度(张/万人),70.35317292809906,张/万人
资源密度,养老床位密度(张/万人),2079.237773623591,张/万人
资源密度,人均绿地面积(平方米/人),9.447426078916159,平方米/人
覆盖率,医疗机构覆盖率,100.0,%
覆盖率,养老机构覆盖率,100.0,%
覆盖率,公园绿地覆盖率,27.352667898762867,%
覆盖率,文化设施覆盖率,16.84765776373075,%
